id,title,artist,language,genre,mood_tags,energy,tempo_bpm,valence,danceability,acousticness,year,description
1,Chuttamalle,Anirudh Ravichander; Shilpa Rao,telugu,telugu film,romantic;playful;melodic,0.72,108,0.78,0.75,0.25,2024,"From the 2024 Telugu film Devara: Part 1, this duet carries a playful romance at a groove-forward mid-tempo. Polished but warm, it sits in the sweet spot between celebratory and tender."
2,Mallika Gandha,Thaman S; Sid Sriram,telugu,telugu film,romantic;melodic;soulful,0.58,92,0.68,0.62,0.45,2024,"Sid Sriram's characteristically searching vocal draws the emotional weight from this 2024 Telugu film track, set against a mid-tempo melody with moderate acoustic warmth. Quiet and reflective, it rewards patient listening."
3,Say Yes To Heaven,Lana Del Rey,english,indie pop,dreamy;melancholic;romantic,0.38,98,0.42,0.55,0.72,2023,"Gossamer vocal over understated production: romantic longing and a melancholic undertow held at an unhurried mid-tempo. High acousticness and low energy make it feel like late-night listening you didn't plan."
4,Gelupuleni Samaram,Ramya Behara,telugu,telugu film,melancholic;emotional;soulful,0.32,78,0.28,0.38,0.78,2018,"Slow, sparse, and emotionally exposed — this 2018 Telugu film ballad uses high acousticness and a minimal arrangement to let the vocal carry the full weight of longing. Quiet sorrow, no melodrama."
5,Sirivennela Female Version,Mickey J Meyer; Chaitra Ambadipudi,telugu,telugu film,melodic;classical;peaceful,0.35,82,0.55,0.42,0.82,2021,"Chaitra Ambadipudi's 2021 female rendition of a beloved classical Telugu melody keeps all its classical warmth intact at a soft, deliberate tempo. High acousticness and an unhurried pace make the peace feel earned."
6,Lovin On Me,Jack Harlow,english,hip-hop,playful;confident;upbeat,0.68,101,0.82,0.88,0.12,2023,"Relaxed and self-assured, this 2023 hip-hop track runs at a comfortable mid-tempo bounce with near-zero acousticness and high danceability that makes it genuinely fun. Easy playful charm — confident without trying."
7,Chemtrails Over The Country Club,Lana Del Rey,english,indie pop,dreamy;nostalgic;melancholic,0.35,98,0.38,0.48,0.75,2021,"Low energy, high acousticness, and a steady mid-tempo drift through nostalgia and mild melancholy — this 2021 indie pop track favors atmosphere over momentum. Intimate and unhurried in equal measure."
8,Cinnamon Girl,Lana Del Rey,english,indie pop,dreamy;melancholic;atmospheric,0.42,95,0.32,0.45,0.65,2019,"Brooding and atmospheric, suspended between dream and melancholy at a mid-tempo cadence with moderate acoustic texture. The low valence and deliberately muted production keep the mood internalized rather than dramatic."
9,Omkara Nadanu,Veturi; SPB; K V Mahadevan; S Janaki,telugu,telugu classical,classical;devotional;soulful,0.42,88,0.58,0.38,0.88,1980,"From the landmark 1980 Telugu film Shankarabharanam, this devotional duet between S P Balasubrahmanyam and S Janaki moves at a dignified, unhurried pace with near-full acousticness. Timeless classical warmth."
10,Maha Adhbhutham,Nutana Mohan,telugu,telugu film,uplifting;emotional;melodic,0.55,96,0.68,0.55,0.62,2019,"Emotional uplift rather than celebration — this 2019 Telugu film melody moves at a comfortable mid-tempo with organic acoustic warmth and a sincerity that keeps it from feeling generic."
